title,summary,url,annotation
Kerem Shalom border crossing,"Kerem Shalom border crossing (Hebrew: מעבר כרם שלום, ""Vineyard of Peace""; Arabic: معبر كرم أبو سالم, Karem Abu Salem) is a border crossing at the junction of two border sections: one between the Gaza Strip and Israel, and one between the Gaza Strip and Egypt. It is used by trucks carrying goods from Israel or Egypt to the Gaza Strip.",https://en.wikipedia.org/wiki/Kerem_Shalom_border_crossing,Event
Carayonites,"Carayonites is a genus of ground beetles in the family Carabidae. This genus has a single species, Carayonites insignis.",https://en.wikipedia.org/wiki/Carayonites,Not an Event
Lubiano,"Lubiano (Basque: Lubinao) is a hamlet and concejo in the municipality of Vitoria-Gasteiz, in Álava province, Basque Country, Spain.
Lubiano was first mentioned and recorded as Luviano in the Reja de San Millán of 1025, and referenced again as Luviano in 1257. It became part of the municipality of Vitoria in 1332.",https://en.wikipedia.org/wiki/Lubiano,Not an Event
Manasota Scrub Preserve,"The Manasota Scrub Preserve is an area of protected land in Sarasota County, Florida. It is located at 2695 Bridge Street in Englewood, Florida, in a suburban area that is part of the Lemon Bay watershed.
The 154-acre preserve was acquired during 2000 and 2002 with funds from the state's Environmentally Sensitive Lands Protection Program and the Florida Communities Trust. It is named after the Manasota Land and Timber Company and the type of vegetation present, scrubland. It includes trails, a boardwalk, and a picnic area. The preserve's upland and wetland habitats are home to gopher tortoises, northern quail, swallowtail butterflies and great horned owls. Plant species include wildflowers: grassleaf, goldenaster and blazing-star.",https://en.wikipedia.org/wiki/Manasota_Scrub_Preserve,Not an Event
Battle of Pingxingguan order of battle,"The Battle of Pingxingguan (Chinese: 平型關戰役), commonly called the Great Victory of Pingxingguan in Mainland China, was an engagement fought on 25 September 1937, at the beginning of the Second Sino-Japanese War, between the Eighth Route Army of the Chinese Communist Party and the Imperial Japanese Army.
The battle resulted in the loss of 400 to 600 soldiers on both sides, but the Chinese captured 100 trucks full of supplies. The victory gave the Chinese Communists a tremendous boost since it was the only division-size battle that they fought during the entire war.

",https://en.wikipedia.org/wiki/Battle_of_Pingxingguan,Event
Massachusetts Tests for Educator Licensure,"The Massachusetts Tests for Educator Licensure (MTEL) program was initiated by the Massachusetts Department of Education in 1998. It is part of a statewide education reform initiative for educators seeking pre-kindergarten to Grade 12 licenses. The MTEL program includes a test of communication and literacy skills as well as tests of subject matter knowledge. The tests are designed to ensure that Massachusetts educators can communicate adequately with students, parents/guardians, and other educators and that they are knowledgeable in the subject matter of the license sought. The MTEL program was expanded in November 2004 to include tests for candidates seeking vocational technical and adult basic education licenses.
The MTEL is developed, administered, and scored by National Evaluation Systems, Inc. (NES), which is now known as the Evaluation Systems group of Pearson Education.  Tests are scored on a criterion-based system, where examinees must attain a certain score based on standards established by the state. Constructed (written & oral) components of the tests are scored using a focused holistic scoring model (similar to holistic grading).  Like regular holistic scoring, responses are viewed for their overall quality, not just for individual mistakes.  However this is done according to specific criteria that the state has established (i.e., grammar, support, etc.).  These criteria vary by test and assignment.
It is accepted in a few other states as a credential for teaching. The MTEL is a unique set of tests, whereas all other states in New England use the Praxis test, which have been adopted by 40 other states.
A wide variety of MTEL assessments are available, including:
Academically Advanced (52)
Adult Basic Education (55)
Bilingual Education (79)
Biology (66)
Business (19)
Chemistry (67)
Chinese (Mandarin) (29)
Dance (46)
Digital Literacy and Computer Science (71)
Early Childhood (72)
Earth and Space Science (74)
English (61)
English as a Second Language (54)
Foundations of Reading (190)
French (26)
General Curriculum (03)—current test
General Curriculum (78)—future test
General Science (64)
German (27)
Health/Family and Consumer Sciences (21)
History/Social Science (73)
Italian (30)
Latin and Classical Humanities (15)
Mathematics (Elementary) (68)
Mathematics (Middle School) (65)
Mathematics (Secondary) (63)
Mathematics/Science (Middle School) (77)
Middle School Humanities (50)—current test
Middle School Humanities (76)—future test
Music (16)
Physical Education (22)
Physics (69)
Portuguese (32)
Reading Specialist (62)
Russian (31)
Sheltered English Immersion (56)
Spanish (28)
Speech (44)
Technology/Engineering (70)
Theater (45)
Visual Art (17)

",https://en.wikipedia.org/wiki/Massachusetts_Tests_for_Educator_Licensure,Event
PictBridge,"PictBridge is a historical computing industry standard introduced in 2003 from the Camera & Imaging Products Association (CIPA) for direct printing. It allows images to be printed directly from digital cameras to a printer, without having to connect the formal name is ""Standard of Camera & Imaging Products Association CIPA DC-001 — 2003 Digital Solutions for Imaging Devices"". CIPA DC-001-2003 Rev. 2.0 has been published in 2007.

",https://en.wikipedia.org/wiki/PictBridge,Event
Sherwood Academy,"Sherwood Academy (formerly Sherwood E-ACT Academy, The Gedling School and Gedling Secondary Modern) was a secondary school with academy status located in the village of Gedling, Nottinghamshire, England. At its peak, it educated almost 1000 students, and at times, taught A-Levels, O-levels, GCSEs, and BTECs. In the 21st century, the school struggled with critical Ofsted reports, leading to several major changes in management. In 2016, was eventually closed due to financial insolvency.

",https://en.wikipedia.org/wiki/Sherwood_Academy,Not an Event
2005 Campeonato da 1ª Divisão do Futebol,"Statistics of Campeonato da 1ª Divisão do Futebol in the 2005 season.

",https://en.wikipedia.org/wiki/2005_Campeonato_da_1%C2%AA_Divis%C3%A3o_do_Futebol,Not an Event
Massigui,"Massigui is a town and commune in the Cercle of Dioila in the Koulikoro Region of southern Mali. As of 1998 the commune had a population of 45,120.",https://en.wikipedia.org/wiki/Massigui,Not an Event
