title,summary,url,annotation
2012 Brentwood Borough Council election,The 2012 Brentwood Borough Council election to the Brentwood Borough Council in Essex took place on Thursday 3 May 2012.,https://en.wikipedia.org/wiki/2012_Brentwood_Borough_Council_election,Event
Mechanical overload,"The failure or fracture of a product or component as a result of a single event is known as mechanical overload. It is a common failure mode. The terms are used in forensic engineering and structural engineering when analysing product failure. Failure may occur because either the product is weaker than expected owing to a stress concentration, or the applied load is greater than expected and exceeds the normal tensile strength, shear strength or compressive strength of the product.

",https://en.wikipedia.org/wiki/Mechanical_overload,Not an Event
Cepola haastii,"Cepola haastii is a species of marine ray-finned fish belonging to the family Cepolidae, the bandfishes. It is found on the inner continental shelf around New Zealand.  Its length is between 15 and 25 cm. This species is known as the red bandfish, a name given to most of the other members of the genus Cepola, especially the European species, Cepola macrophthalma.",https://en.wikipedia.org/wiki/Cepola_haastii,Not an Event
2011 Avispa Fukuoka season,"The 2011 Avispa Fukuoka season was Avispa Fukuoka's first season in J. League Division 1 since 2006, and 8th overall in the top division. It also includes the 2011 J. League Cup, and the 2011 Emperor's Cup. Avispa Fukuoka finished the J. League season in 17th place and were relegated to the 2012 J. League Division 2.",https://en.wikipedia.org/wiki/2011_Avispa_Fukuoka_season,Event
1874 Nova Scotia general election,"The 1874 Nova Scotia general election was held on 17 December 1874 to elect members of the 26th House of Assembly of the Province of Nova Scotia, Canada. It was won by the Liberal party.",https://en.wikipedia.org/wiki/1874_Nova_Scotia_general_election,Event
"Gasper, Kentucky","Gasper is an unincorporated community located in Logan County, Kentucky, United States. It was also known as Bucksville.","https://en.wikipedia.org/wiki/Gasper,_Kentucky",Not an Event
Britannia (tank),"Britannia is a preserved First World War British Mark IV Female heavy tank. It toured Canada and the United States to raise money. Later renamed Liberty it is now displayed at the United States Army Ordnance Museum, Aberdeen, Maryland.

",https://en.wikipedia.org/wiki/Britannia_(tank),Not an Event
December 1981 windstorm,"The December 1981 windstorm was a severe storm that particularly affected southern England, Wales and south west France during 13 December 1981. The storm formed as a secondary low.
In England, the storm started with violent winds and snow, which reached Cornwall during the morning. Prior to its arrival a number of record low temperatures were reached for December, with -25.1C at RAF Shawbury in Shropshire and -5.9C in Southampton.
In the evening spring tides combined with a 1.45 m (4.8 ft) storm surge resulted in the highest water levels recorded in the Bristol Channel since the start of the 20th century. Water from melting snow, caused by milder weather accompanying the depression, added to the flooding. The maximum surge at Hinkley Point was measured at 1.3 metres (4 ft 3 in) above the 7.4 metres (24 ft) tidal level Ordnance Datum (OD) at 2025 hours, and 1.3 metres (4 ft 3 in) measured at Avonmouth. The wind was measured at 40 knots (74 km/h; 46 mph) from the west. Over topping of the sea defences along a 7 miles (11 km) stretch of the North Somerset coast at 22 locations from Clevedon to Porlock began after 19:30, and continued until about 21:30 when the wind speed had reached 50 knots (93 km/h; 58 mph) from the west. Although there was no loss of life, the resultant flooding covered 12,500 acres (5,100 ha) of land, affecting 1072 houses and commercial properties, with £150,000 worth of livestock killed and £50,000 of feed and grain destroyed. Wessex Water Authority estimated the total cost of the damage caused at £6m, resulting in a three-year programme of sea defence assessment, repair and improvement.
In France, the storm caused widespread flooding in the south west, causing considerable damage in the river basins of the Garonne and Adour and flooding the city of Bordeaux.
The MV Bonita, an 8000 tonne Ecuadorian cargo ship sailing from Hamburg to Panama was caught in the storm in the English Channel. 29 were rescued from the ship, 4 by helicopter until the storm was too strong for the helicopter to operate. The remaining crew were rescued by the Guernsey lifeboat, however there were 2 fatalities.
Water entered the cooling water pump house of Hinkley Point nuclear power station, causing a shut-down for weeks after the storm.

",https://en.wikipedia.org/wiki/December_1981_windstorm,Event
Cresol,"Cresols (also known as hydroxytoluene, toluenol, benzol or cresylic acid) are a group of aromatic organic compounds. They are widely-occurring phenols (sometimes called phenolics) which may be either natural or manufactured. They are also categorized as methyl phenols. Cresols commonly occur as either solids or liquids because their melting points are generally close to room temperature. Like other types of phenols, they are slowly oxidized by exposure to air, and the resulting impurities often give the samples a yellow to brownish red tint. Cresols have an odor characteristic to that of other simple phenols, reminiscent to some of a ""coal tar"" smell. The name ""cresol"" is an adduct of phenol and their traditional source, creosote.",https://en.wikipedia.org/wiki/Cresol,Not an Event
Tocumbo Municipality,"Tocumbo is a municipality in the Mexican state of Michoacán. The municipality has an area of 506.85 square kilometres (195.70 sq mi) (0.86% of the surface of the state) and is bordered to the north by Tingüindín, to the east by Los Reyes, to south by the state of Jalisco, and to the west by Cotija. The municipality had a population of 8,820 inhabitants according to the 2005 census.  Its municipal seat is the city of the same name. The economy of the municipality is mostly based on agriculture and ranching.",https://en.wikipedia.org/wiki/Tocumbo_Municipality,Not an Event
Arachnoobius,Arachnoobius is a genus of hymenopteran insects of the family Eulophidae.,https://en.wikipedia.org/wiki/Arachnoobius,Not an Event
Kechery,"Kechery  is a town in Thrissur district, Kerala, India. It is 16 kilometers away from Thrissur and 7 kilometers from Kunnamkulam. One of the important hindu pilgrim center Guruvayur temple is 11 kilometres away from here.",https://en.wikipedia.org/wiki/Kechery,Not an Event
2020–21 Ardal SE,"The 2020–21 Ardal SE season (also known as the 2020–21 Floodlighting and Electrical Services Ardal SE season for sponsorship reasons) was to be the first season of the new third-tier southern region football in Welsh football pyramid, part of the Ardal Leagues.  Teams were to play each other twice on a home and away basis.
Due to the COVID-19 pandemic in Wales, the Football Association of Wales cancelled the 2020–21 seasons of the Ardal Leagues and below.",https://en.wikipedia.org/wiki/2020%E2%80%9321_Ardal_SE,Event
Arroyo CP,"Arroyo Club Polideportivo is a Spanish football club  based in Arroyo de la Luz, in the autonomous community of Extremadura. Founded in 1968 it plays in Tercera Federación – Group 14, holding home games at Estadio Municipal, with a 3,000-seat capacity.",https://en.wikipedia.org/wiki/Arroyo_CP,Not an Event
Bulbophyllum dibothron,Bulbophyllum dibothron is a species of orchid in the genus Bulbophyllum.,https://en.wikipedia.org/wiki/Bulbophyllum_dibothron,Not an Event
Kenya Army Engineers Brigade,"The mission of the Kenya Army Engineers Brigade is to support the Kenya Army in defence of the country against external aggression and to aid civil authority in humanitarian or civic projects.

",https://en.wikipedia.org/wiki/Kenya_Army_Engineers_Brigade,Not an Event
Ourlal District,"Ourlal District is a district of Biskra Province, Algeria.

",https://en.wikipedia.org/wiki/Ourlal_District,Not an Event
Wolverhampton Racecourse,"Wolverhampton Racecourse is a thoroughbred horse racing venue located in Wolverhampton, West Midlands, England. The track was the first to be floodlit in Britain and often holds meetings in the evening.  The track surface has been Tapeta since 2014.",https://en.wikipedia.org/wiki/Wolverhampton_Racecourse,Not an Event
Hunting Camp Creek Wilderness,"The Hunting Camp Creek Wilderness  is an area protected by the Eastern Wilderness Act of Congress to maintain its present, natural condition. As part of the wilderness system, it helps to preserve a variety of natural life forms and contributes to a diversity of plant and animal gene pools. Over half of the ecosystems in the United States exist within designated wilderness.
Traversed by the Appalachian Trail, the wilderness spans two remote watersheds, giving the trail one of its wildest stretches in the southern Appalachians with an abundance of wildflowers and birdlife.
The area is part of the Garden Mountain Cluster.",https://en.wikipedia.org/wiki/Hunting_Camp_Creek_Wilderness,Not an Event
Ergonomics in Design,"Ergonomics, also known as human factors or human factors engineering (HFE), is the application of psychological and physiological principles to the engineering and design of products, processes, and systems. Primary goals of human factors engineering are to reduce human error, increase productivity and system availability, and enhance safety, health and comfort with a specific focus on the interaction between the human and equipment.
The field is a combination of numerous disciplines, such as psychology, sociology, engineering, biomechanics, industrial design, physiology, anthropometry, interaction design, visual design, user experience, and user interface design. Human factors research employs methods and approaches from these and other knowledge disciplines to study human behavior and generate data relevant to previously stated goals. In studying and sharing learning on the design of equipment, devices, and processes that fit the human body and its cognitive abilities, the two terms, ""human factors"" and ""ergonomics"", are essentially synonymous as to their referent and meaning in current literature.
The International Ergonomics Association defines ergonomics or human factors as follows:

Ergonomics (or human factors) is the scientific discipline concerned with the understanding of interactions among humans and other elements of a system, and the profession that applies theory, principles, data and methods to design to optimize human well-being and overall system performance.

Human factors engineering is relevant in the design of such things as safe furniture and easy-to-use interfaces to machines and equipment. Proper ergonomic design is necessary to prevent repetitive strain injuries and other musculoskeletal disorders, which can develop over time and can lead to long-term disability. Human factors and ergonomics are concerned with the ""fit"" between the user, equipment, and environment or ""fitting a job to a person"" or ""fitting the task to the man"". It accounts for the user's capabilities and limitations in seeking to ensure that tasks, functions, information, and the environment suit that user.
To assess the fit between a person and the used technology, human factors specialists or ergonomists consider the job (activity) being done and the demands on the user; the equipment used (its size, shape, and how appropriate it is for the task), and the information used (how it is presented, accessed, and changed). Ergonomics draws on many disciplines in its study of humans and their environments, including anthropometry, biomechanics, mechanical engineering, industrial engineering, industrial design, information design, kinesiology, physiology, cognitive psychology, industrial and organizational psychology, and space psychology.",https://en.wikipedia.org/wiki/Ergonomics,Not an Event
HMS Horatio,"At least two ships of the Royal Navy have been named HMS or HMT Horatio:

HMS Horatio (1807) was a 38-gun fifth-rate Lively-class frigate launched in 1807 and eventually broken up in 1861.
HMT Horatio (T153) was a Shakespearian-class naval trawler launched in 1940 that was torpedoed and sunk on 7 January 1943.",https://en.wikipedia.org/wiki/HMS_Horatio,Not an Event
Otavi Constituency,"Otavi Constituency is an electoral constituency in the Otjozondjupa Region of Namibia. It had 11,620 inhabitants in 2004 and 9,608 registered voters in 2020. The constituency consists of the town of Otavi and the surrounding rural area.

",https://en.wikipedia.org/wiki/Otavi_Constituency,Not an Event
Sturton Grange,"Sturton Grange is a civil parish in the City of Leeds in West Yorkshire, England. It has a population of 417, reducing to 403 at the 2011 Census.
Most of the parish area is used for agriculture. Soft fruit is grown here at an industrial scale. Population is concentrated in the northwest near the boundary with Garforth. The M1 motorway passes through the northern parts of the parish, the Leeds to Selby railway through the southern parts. Garforth Airfield is located north of the railway near the centre of the parish area.

",https://en.wikipedia.org/wiki/Sturton_Grange,Not an Event
Koetong railway station,"Koetong was a closed station located in the town of Koetong, on the Cudgewa railway line in Victoria, Australia. Today there is nothing left of the station.
The passenger platform was shortened from 33.5m to 15m in 1976, before closing altogether on 30 April of the same year.

",https://en.wikipedia.org/wiki/Koetong_railway_station,Not an Event
Glycoprotein 6-alpha-L-fucosyltransferase,"In enzymology, a glycoprotein 6-alpha-L-fucosyltransferase (EC 2.4.1.68) is an enzyme that catalyzes the chemical reaction

GDP-L-fucose + N4-{N-acetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->3)-[N- acetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->6)]-beta-D- mannosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D- glucosaminyl}asparagine 
  
    
      
        ⇌
      
    
    {\displaystyle \rightleftharpoons }
  
 GDP + N4-{N-acetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->3)-[N- acetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->6)]-beta-D- mannosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)-[alpha-L- fucosyl-(1->6)]-N-acetyl-beta-D-glucosaminyl}asparagine
The 2 substrates of this enzyme are GDP-L-fucose and N4-{N-acetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->3)-[N-acetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->6)]-beta-D-mannosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosaminyl}asparagine, and its 2 products are GDP and N4-{N-acetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->3)-[N-acetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->6)]-beta-D-mannosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)-[alpha-L-fucosyl-(1->6)]-N-acetyl-beta-D-glucosaminyl}asparagine.
This enzyme belongs to the family of glycosyltransferases, specifically the hexosyltransferases.  The systematic name of this enzyme class is GDP-L-fucose:glycoprotein (L-fucose to asparagine-linked N-acetylglucosamine of N4-{N-acetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->3)-[N-a cetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->6)]-beta-D-man nosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glu cosaminyl}asparagine) 6-alpha-L-fucosyltransferase. Other names in common use include GDP-fucose-glycoprotein fucosyltransferase, GDP-L-Fuc:N-acetyl-beta-D-glucosaminide alpha1->6fucosyltransferase, GDP-L-fucose-glycoprotein fucosyltransferase, glycoprotein fucosyltransferase, guanosine diphosphofucose-glycoprotein fucosyltransferase, GDP-L-fucose:glycoprotein (L-fucose to asparagine-linked, N-acetylglucosamine of, 4-N-{N-acetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->3)-[N-, acetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->6)]-beta-D-, mannosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-, glucosaminyl}asparagine) 6-alpha-L-fucosyltransferase, and FucT.  This enzyme participates in 3 metabolic pathways: n-glycan biosynthesis, keratan sulfate biosynthesis, and glycan structures - biosynthesis 1.",https://en.wikipedia.org/wiki/Glycoprotein_6-alpha-L-fucosyltransferase,Not an Event
BMJ USA,BMJ USA: Primary Care Medicine for the American Physician was a monthly peer-reviewed medical journal published by the BMJ Group as a sister journal to the BMJ. It was intended to publish material specifically relevant to readers in the United States. It was established in 2001 and was discontinued permanently in 2005.,https://en.wikipedia.org/wiki/BMJ_USA,Not an Event
Sagar Cantonment,Sagar Cantonment is a cantonment town in Sagar district in the Indian state of Madhya Pradesh.,https://en.wikipedia.org/wiki/Sagar_Cantonment,Not an Event
Caddo (harvestman),"Caddo is a genus of harvestmen in the family Caddidae. There are two described species in Caddo. Both species are found in North America and Eastern Asia.

",https://en.wikipedia.org/wiki/Caddo_(harvestman),Not an Event
Khajura Khurda,"Khajura Khurda is a town in Banke District in the Bheri Zone of south-western Nepal. At the time of the 1991 Nepal census it had a population of 4,508 and had 831 houses in the town.

",https://en.wikipedia.org/wiki/Khajura_Khurda,Not an Event
WGUA-LP,"WGUA-LP (98.1 FM), known as Radio Católica, is a low power FM radio station broadcasting a Spanish-language Catholic radio format. Established in 2016, WGUA-LP is licensed to Lawrence, Massachusetts, broadcasting from WCRB's tower in nearby Andover. Its studios are located in Methuen.
Radio Católica is owned by the St. Patrick Parish Lawrence Educational Radio Association.",https://en.wikipedia.org/wiki/WGUA-LP,Not an Event
Omatta,Omatta is a small town in Sri Lanka. It is located within Southern Province.,https://en.wikipedia.org/wiki/Omatta,Not an Event
