title,summary,url,annotation
Tandwa block,"Tandwa is a community development block that forms an administrative division in the Simaria subdivision of the Chatra district, Jharkhand state, India.",https://en.wikipedia.org/wiki/Tandwa_block,Not an Event
Žiedupė,"The Žiedupė (or Žiedupys) is a river of Kėdainiai district municipality, Kaunas County, central Lithuania. It flows for 12.3 kilometres (7.6 mi) and has a basin area of 17.3 km2 (6.7 sq mi). It is a left tributary of the river Šušvė.
It begins 2 kilometres (1.2 mi) north to Josvainiai, nearby Šingaliai village. It flows mostly southwards and meets the Šušvė nearby Plaktiniai village. Josvainiai village, Pažiedupys and Plaktiniai are located on the banks of the Žiedupė.
The name Žiedupė is a compound noun and derives from the Lithuanian words žiedas ('flower, blosom' or 'ring') and upė ('river').",https://en.wikipedia.org/wiki/%C5%BDiedup%C4%97,Not an Event
Lion's Heart,"Lion's Heart is a 1972 Hong Kong film.

",https://en.wikipedia.org/wiki/Lion%27s_Heart,Not an Event
Japanese destroyer Tokitsukaze (1939),"Tokitsukaze (時津風, lit. “favorable wind”)  was the tenth vessel to be commissioned in the 19-vessel Kagerō-class destroyers built for the Imperial Japanese Navy in the late-1930s under the Circle Three Supplementary Naval Expansion Program (Maru San Keikaku).",https://en.wikipedia.org/wiki/Japanese_destroyer_Tokitsukaze_(1939),Not an Event
"Walpole (CDP), New Hampshire","Walpole is a census-designated place (CDP) and the central village in the town of Walpole in Cheshire County, New Hampshire, United States. The population of the CDP was 573 at the 2020 census, compared to 3,633 in the entire town.","https://en.wikipedia.org/wiki/Walpole_(CDP),_New_Hampshire",Not an Event
Atauro,"Atauro (Portuguese: Ilha de Ataúro, Tetum: Illa Ataúru, Indonesian: Pulau Atauro), also known as Kambing Island (Indonesian: Pulau Kambing), is an island and municipality (Portuguese: Município Ataúro, Tetum: Munisípiu Atauro or Ata'uro) of East Timor. Atauro is a small oceanic island situated north of Dili, on the extinct Wetar segment of the volcanic Inner Banda Arc, between the Indonesian islands of Alor and Wetar. The nearest island is the Indonesian island of Liran, 13.0 km (8.1 mi) to the northeast. At the 2015 census, it had 9,274 inhabitants.
Atauro was one of the administrative posts (formerly subdistricts) of Dili Municipality until it became a separate municipality with effect from 1 January 2022.",https://en.wikipedia.org/wiki/Atauro,Not an Event
East Sudanian savanna,"The East Sudanian savanna is a hot, seasonally dry tropical savanna ecoregion of Central and East Africa.",https://en.wikipedia.org/wiki/East_Sudanian_savanna,Not an Event
Enduro,"Enduro is a form of motorcycle sport run on extended cross-country, off-road courses. Enduro consists of many different obstacles and challenges. The main type of enduro event, and the format to which the World Enduro Championship is run, is a time-card enduro, whereby a number of stages are raced in a time trial against the clock.",https://en.wikipedia.org/wiki/Enduro,Not an Event
"Church of St Mary and St Radegund, Whitwell","The Church of St. Mary and St. Radegund, Whitwell is a parish church in the Church of England located in Whitwell on the Isle of Wight.

","https://en.wikipedia.org/wiki/Church_of_St_Mary_and_St_Radegund,_Whitwell",Not an Event
Prix du Moulin de Longchamp,"The Prix du Moulin de Longchamp is a Group 1 flat horse race in France open to horses aged three years or older. It is run at Longchamp over a distance of 1,600 metres (about 1 mile), and it is scheduled to take place each year in September.

",https://en.wikipedia.org/wiki/Prix_du_Moulin_de_Longchamp,Event
