title,summary,url,annotation
Begunje pri Cerknici,"Begunje pri Cerknici (pronounced [ˈbeːɡunjɛ pɾi ˈtseːɾknitsi]; German: Wigaun) is a settlement north of Cerknica in the Inner Carniola region of Slovenia.

",https://en.wikipedia.org/wiki/Begunje_pri_Cerknici,Not an Event
2013 Women's Rugby League World Cup,"The 2013 Women's Rugby League World Cup was the fourth staging of the Women's Rugby League World Cup. The tournament was held in Great Britain from 5 July, culminating in the final between Australia and New Zealand on 14 July. It was held at Headingley, Leeds. Four teams took part and these teams were: Australia, England, France and New Zealand.",https://en.wikipedia.org/wiki/2013_Women%27s_Rugby_League_World_Cup,Event
Clackmannan Road railway station,"Clackmannan Road railway station served the town of Clackmannan, Clackmannanshire, Scotland from 1850 to 1921 on the Stirling and Dunfermline Railway.

",https://en.wikipedia.org/wiki/Clackmannan_Road_railway_station,Not an Event
Olivella careorugula,"Olivella careorugula is a species of small sea snail, marine gastropod mollusk in the subfamily Olivellinae, in the family Olividae, the olives.  Species in the genus Olivella are commonly called dwarf olives.

",https://en.wikipedia.org/wiki/Olivella_careorugula,Not an Event
Opportunism,"Opportunism is the practice of taking advantage of circumstances — with little regard for principles or with what the consequences are for others. Opportunist actions are expedient actions guided primarily by self-interested motives. The term can be applied to individual humans and living organisms, groups, organizations, styles, behaviors and trends.
Opportunism or ""opportunistic behaviour"" is an important concept in such fields of study as biology, transaction cost economics, game theory, ethics, psychology, sociology and politics.",https://en.wikipedia.org/wiki/Opportunism,Not an Event
Self-limiting (biology),"In biology and medicine, the term self-limiting may describe a medical condition, or it may describe an organism or colony.",https://en.wikipedia.org/wiki/Self-limiting_(biology),Not an Event
Pic de Rochebrune,"The Pic de Rochebrune (or Grand Rochebrune or, simply, Rochebrune) is a mountain in the Cottian Alps belonging to the French department of Hautes-Alpes.  

",https://en.wikipedia.org/wiki/Pic_de_Rochebrune,Not an Event
List of Old Geelong Grammarians,"This is a list of notable Old Geelong Grammarians, they being notable former students - known as ""Old Geelong Grammarians"" of the Anglican Church school, Geelong Grammar School and old girls of The Hermitage and Clyde School in Geelong, Victoria, Australia.
In 2001, The Sun-Herald ranked Geelong Grammar School fourth in Australia's top ten schools for boys, based on the number of its male alumni mentioned in the Who's Who in Australia (a listing of notable Australians).

",https://en.wikipedia.org/wiki/List_of_Old_Geelong_Grammarians,Not an Event
Silver acetylide,"Silver acetylide is an inorganic chemical compound with the formula Ag2C2, a metal acetylide. The compound can be regarded as a silver salt of the weak acid, acetylene. The salt's anion consists of two carbon atoms linked by a triple bond, thus, its structure is [Ag+]2[−C≡C−]. The alternate name ""silver carbide"" is rarely used, although the analogous calcium compound CaC2 is called calcium carbide. Silver acetylide is a primary explosive.

",https://en.wikipedia.org/wiki/Silver_acetylide,Not an Event
Projecta,"A project is a type of assignment, typically involving research or design, that is carefully planned to achieve a specific objective.
An alternative view sees a project managerially as a sequence of events: a ""set of interrelated tasks to be executed over a fixed period and within certain cost and other limitations"".
A project may be a temporary (rather than a permanent) social system (work system), possibly staffed by teams (within or across organizations) to accomplish particular tasks under time constraints.: Section 1.2 
A project may form a part of wider programme management: 1  or function as an ad hoc system.: 922 
Open-source software ""projects"" or artists' musical ""projects"" (for example) may lack defined team-membership, precise planning and/or time-limited durations.",https://en.wikipedia.org/wiki/Project,Not an Event
